text_id,text,date_est,business_hours
44,RT @SharylAttkisson: Trump makes presidential history at Daytona 500 race https://t.co/PS2Lxd3Szp https://t.co/aBXvvm1jvF,2020-02-17T13:53:33Z,non-business hours
45,"RT @realDonaldTrump: Senator John Cornyn has done an outstanding job for the people of Texas. He is strong on Crime, the Border, the Second…",2020-03-02T19:20:43Z,business hours
46,RT @realDonaldTrump: Congressman @LanceGooden has done a wonderful job for the people of Texas while supporting our #MAGA Agenda. He contin…,2020-03-02T19:31:27Z,business hours
47,RT @realDonaldTrump: .@LouieGohmertTX1 is a Fantastic Republican from the Great State of Texas! He fully supports our #MAGA and #KAG Agenda…,2020-03-02T19:32:14Z,business hours
48,"If the Wall Street Journal “Editorial” writers had called, as they should have, they would have easily found that I was “NOT happy with the Georgia Governor on Tuesday night.” You said the opposite, and got it wrong as you often do!",2020-04-25T15:59:22Z,business hours
49,I agree with Joe! https://t.co/h84mD7jVPW,2020-03-08T03:56:39Z,non-business hours
50,"RT @BrandonBeckham_: @realDonaldTrump 🇺🇸 We've seen the greatest mobilization of industry since World War II

President @realDonaldTrump is…",2020-03-28T04:25:36Z,non-business hours
51,"....very often FAKE NEWS. Lamestream Media should be forced to reveal sources, very much as they did in the long ago past. If they did that, the media would be trusted again, and Fake News would largely be a thing if the past!",2020-03-28T12:33:30Z,non-business hours
52,"Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",2020-03-03T06:27:46Z,non-business hours
53,RT @IamAllOutOfGum: @Lrihendry @PlaysTrumpCard @realDonaldTrump @AnthemRespect @bfraser747 @ROHLL5 @atensnut @CarmineSabia @oUSA_JEDIo @car…,2020-02-01T21:48:23Z,business hours
54,"Such a great, common sense, question. Crazy! https://t.co/i13tgw24wN",2020-02-01T21:53:04Z,business hours
55,"Mini Mike Bloomberg can never recover from his incompetent debate performances. Also, as mayor he was very bad under pressure - a chocker!",2020-03-03T13:36:16Z,non-business hours
56,RT @ROHLL5: @PlaysTrumpCard @Lrihendry @realDonaldTrump @AnthemRespect @bfraser747 @atensnut @CarmineSabia @oUSA_JEDIo @carrieksada @Text88…,2020-02-02T02:58:53Z,non-business hours
57,"RT @realDonaldTrump: Such a great, common sense, question. Crazy!",2020-02-02T03:25:48Z,non-business hours
