id,text,date_est,business_hours,cal_week
572," Hey Joe, last year US emissions dropped by .% largely because of Republican-led efforts to deregulate natural gas, a c…",2020-04-30T12:51:24Z,non-business hours,18
573,"Getting ready to meet the LSU Tigers, the National Chions. Great Coach, great Team, great School. Very exciting!",2020-01-17T15:17:43Z,business hours,3
574,"Mini Mike Bloomberg ads are purposely wrong - A vanity project for him to get into the game. Nobody in many years has done for the USA what I have done for the USA, including the greatest economy in history, rebuilding our military, biggest ever tax ; regulation cuts, ; nd A!",2020-01-17T14:12:06Z,business hours,3
575, Biden's team won't let him do interviews. He made short teleprompter speeches in Missouri this weekend ; both generated…,2020-03-10T10:59:56Z,non-business hours,10
576," Mini Mike, don’t lick your dirty fingers. Both unsanitary and dangerous to others and yourself!",2020-03-04T06:25:09Z,non-business hours,10
577, The best president ever,2020-02-03T01:18:07Z,business hours,5
578,"Pete Rose played Major League Baseball for seasons, from -, and had more hits, ,, than any other player (by a wide margin). He gambled, but only on his own team winning, and paid a decades long price. GET PETE ROSE INTO THE BASEBALL HALL OF FAME. It’s Time!",2020-02-08T21:08:35Z,business hours,6
579,Will be interviewed on at : A.M. USA STRONG!,2020-03-30T05:15:37Z,non-business hours,13
580, . Kevin McCarthy (R-Bakersfield) announced InyoKern Airport will receive an $ million Airport Improvement Pro…,2020-04-30T12:52:47Z,non-business hours,18
581, We’re partnering with ; to help get PPE and essential goods to communities in need as efficiently as poss…,2020-04-30T12:52:18Z,non-business hours,18
582,We will get this done for our great Miners!,2020-01-10T13:39:42Z,non-business hours,2
583," Since , Congress has boosted funding to address the opioid epidemic by , percent. To ensure those struggling wi...",2020-01-10T13:36:12Z,non-business hours,2
584, I hope the latest events have made ilear to Iran that the United States will never back down from proting our peo...,2020-01-10T13:35:08Z,non-business hours,2
585," BEST SUPER BOWL AD EVER! President Trump making lives better for minorities! Unlike Obama, who did noth…",2020-02-03T01:19:07Z,business hours,5
586," Thanks for the lift, Mr. President! Headed back home to North Carolina with for the Opportunity Now Summ…",2020-02-08T22:40:40Z,business hours,6
587,"Where have the Radical Left, Do Nothing Democrats gone when they have spent the last days defending the life of Qassem Soleimani, one of the worst terrorists in history and the father of the roadside bomb? He was also looking to do big future damage! Dems are “unhinged.”",2020-01-11T14:07:38Z,business hours,2
588,New polling shows that the totally partisan Impeachment Hoax is going nowhere. A vast majority want the Do Nothing Democrats to move on to other things now!,2020-01-11T14:15:22Z,business hours,2
589,The Do Nothing Democrats!,2020-04-30T12:53:30Z,non-business hours,18
590," Under President leadership, the Hispanic unemployment rate hit a record LOW!",2020-01-17T13:27:05Z,non-business hours,3
591," What a historic week for USMCA passage means , new jobs and an additional $ billion in the U…",2020-01-17T13:26:53Z,non-business hours,3
592, was right on nuclear deal 👇👇,2020-01-17T13:26:07Z,non-business hours,3
593,"....paying higher rates than many others, when we should be paying less. Tough on our exporters and puts the USA at a competitive disadvantage. Must be the other way around. Should ease and cut rate big. Jerome Powell led Federal Reserve has called it wrong from day one. Sad!",2020-03-03T06:34:02Z,non-business hours,9
594,"Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to .%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",2020-03-03T06:34:02Z,non-business hours,9
595, It has been an honor of a lifetime to have a front row seat as this president made history the last years This book i…,2020-03-10T11:06:06Z,non-business hours,10
596,Thank you Dr. Hahn ; the FDA for your fast approval of this respected Ohio company recommended by Governor Great potential!,2020-03-30T11:07:25Z,non-business hours,13
597, The love and energy at a Trump Rally. What a special memory in my life to experience my first-ever rally for,2020-01-17T13:49:10Z,non-business hours,3
598," Thank you Cincinnati, Ohio. Together, we are going to KEEP AMERICA GREAT!",2020-01-17T13:48:01Z,non-business hours,3
599," Check out these exciting moments from , and ! Full video available here --gt;",2020-01-17T13:47:11Z,non-business hours,3
600,"Mini Mike Bloomberg doesn’t get on the Democrat Debate Stage because he doesn’t want to - he is a terrible debater and speaker. If he did, he would go down in the polls even more (if that is possible!).",2020-01-17T13:39:21Z,non-business hours,3
601,“There is no crime here. Entertaining this Impeachment is a joke. This whole thing should be dismissed.”,2020-01-17T13:34:27Z,non-business hours,3
602,"“Years from now, when we look back at this day, nobody’s going to remember Nancy’s cheap theatrics, they will remember though how President Trump brought the Chinese to the bargaining table and delivered achievements few ever thought were possible.”",2020-01-17T13:33:09Z,non-business hours,3
603,"Congratulations to the Kansas City Chiefs on a great game, and a fantas comeback, under immense pressure. You represented the Great State of Kansas and, in fact, the entire USA, so very well. Our Country is PROUD OF YOU!",2020-02-03T03:15:45Z,non-business hours,5
604,"The Democrat establishmename together and crushed Bernie Sanders, AGAIN! Even the fact that Elizabeth Warren stayed in the race was devastating to Bernie and allowed Sleepy Joe to unthinkably win Massachusetts. It was a perfect storm, with many good states remaining for Joe!",2020-03-04T11:52:25Z,non-business hours,10
605,I love constantly proving them wrong. It’s easy!,2020-01-10T15:31:27Z,business hours,2
606," Oops! This morning senior House Dem Adam Smith broke ranks with Pelosi, said time to send impeachment arles to Senate. No...",2020-01-10T15:27:52Z,business hours,2
607,“I’ve been doing this for years and I’ve never seen anything like this (Economy).”,2020-01-10T15:11:46Z,business hours,2
608," Also, met with Robert Lighthizer to discuss Phase One of the trade agrmt w/ China. Includes commitm...",2020-01-10T13:31:46Z,non-business hours,2
609,Going up fast. We need the Wall more than ever!,2020-03-10T11:08:03Z,non-business hours,10
610, Will be interviewed on at : A.M. USA STRONG!,2020-03-30T11:12:32Z,non-business hours,13
611,A greaach and a fantas guy. His endorsement of me in Indiana was a very big deal!,2020-02-08T23:47:11Z,business hours,6
612, Proud hear abllaborative efforts in every sector of Iowa's economy Helping each other is the Iowa way Recent exl…,2020-04-30T12:54:21Z,non-business hours,18
613,....for the foreign policies of the President.” Alan Dershowitz They do what the House asks. The Sw!,2020-01-17T13:32:08Z,non-business hours,3
614,“The GOA got it exactly backwards. Here’s what they said. The law does not permit the President to substitute his own policy priorities to those Congress has enacted into law. It’s exactly the opposite. The Constitution does not allow Congress to substitute its own priorities....,2020-01-17T13:32:05Z,non-business hours,3
615," In , candidate made a promise familiar to voters across America: He would do away with the job-killing…",2020-01-17T13:27:40Z,non-business hours,3
616,"Nancy Pelosi and the Democrats delayed the Workers Help/Stimulus Bill by over a week, trying to add real “junk” into the Bill. Got some bad things, having nothing to do with those affected by the Virus, included. Republicans need their votes until we WIN BACK THE HOUSE IN !",2020-03-30T11:17:10Z,non-business hours,13
617," Progressive activists in New York have pushed for this criminal leniency at the expense of innocent victims. In New York,…",2020-01-11T04:56:41Z,non-business hours,2
618," Soleimani was a thug and a terrorist, period. For decades, he orchestrated the deaths of countless Americans. Presiden…",2020-01-11T04:55:06Z,non-business hours,2
619," ""As long as I am President of the United States, Iran will never be allowed to have a nuclear weapon.""",2020-01-11T04:52:56Z,non-business hours,2
620,Congratulations to the Kansas City Chiefs on a great game and a fantas comeback under immense pressure. We are proud of you and the Great State of Missouri. You are true Chions!,2020-02-03T03:27:02Z,non-business hours,5
621," We are not just going for black voters, is delivering results to the community: ✅ School Choice ✅ HBCU Gra…",2020-02-08T23:50:40Z,business hours,6
622,"So selfish for Elizabeth Warren to stay in the race. She has Zero chance of even coming close to winning, but hurts Bernie badly. So much for their wonderful liberal friendship. Will he ever speak to her again? She cost him Massachusetts (and came in third), he shouldn’t!",2020-03-04T12:12:29Z,non-business hours,10
623, This is your daily reminder that it took Barack Obama until October of to declare Swine Flu a National Health Emerg…,2020-03-10T11:08:20Z,non-business hours,10
624, ACQUITTED FOR LIFE.,2020-04-30T12:55:34Z,non-business hours,18
625, Pres is right use authority keep open meat processing plants Its crial infrastructure country's…,2020-04-30T12:54:06Z,non-business hours,18
626, I want to compliment all Iowans for coming together to beat this virus #IowaStrong,2020-04-30T12:53:57Z,non-business hours,18
627,"“In the House, the President got less due process than the - terrorists got. This is a corrupt process?” Mark Levin “Very much so!”",2020-01-20T01:16:00Z,business hours,3
628,"Wow! blew away the competition of Morning Joke (which did very poorly) on MSDNC (Another Comcast sleaze production), and New Day, in the Morning Television Ratings. A total blowout, but that’s what you get when you treat “Trump” fairly!",2020-03-10T11:33:52Z,non-business hours,10
629,So Great!,2020-02-03T03:41:58Z,non-business hours,5
630, Today I joined a resolution with of my colleagues condemning the House of Representatives for withholding the Arles of...,2020-01-10T13:32:17Z,non-business hours,2
631, #DemDebate moderator: What will you do abouhild poverty? Elect should be the answer because... A…,2020-02-08T23:51:29Z,business hours,6
632," ""This was a week thalearly wasn't good for the Democra Party. It was there no good, terrible, rotten week."" - CNN…",2020-02-08T23:51:14Z,business hours,6
633, Devastating flashback clip of Comey just aired on show. When asked who went around the prol of goi…,2020-04-30T12:56:30Z,non-business hours,18
634," If you care about liberty, freedom, or corruption at the highest levels of the government, you have to care about Gen.…",2020-04-30T12:56:13Z,non-business hours,18
635, President “We’re all in this together. I have never seen anything like it.”,2020-03-30T11:19:36Z,non-business hours,13
636, FEMA and administration are making sure we have the supplies we need to confronronavirus.,2020-03-30T11:19:25Z,non-business hours,13
637, BREAKING: Republican Tommy Tuberville advances to primary runoff for U.S. Senate in Alabama primary election. #APracecall…,2020-03-04T12:18:04Z,non-business hours,10
638,A great show! Check it out tonight at pm.,2020-01-20T01:57:49Z,business hours,3
639, Two Super Bowls ago I was sitting in a prison cell. Today I am a free woman and my story was featured in a Super Bowl…,2020-02-03T03:48:42Z,non-business hours,5
640," These Dems are TALKING about what they would do for the black community, but look at what has actuall…",2020-02-08T23:52:14Z,business hours,6
641, Make no mistake: the #DemDebate plan for climate change is to eliminate more than million jobs in America by elimina…,2020-02-08T23:51:57Z,business hours,6
642, LIVE: #USNSComfort arrives in New York in support of the DOD’s #COVID response efforts. (no sound),2020-03-30T16:56:34Z,business hours,13
643,"“FBI Director apologizes for FISA Errors (of which there were far to many to be a coincidence!).” Chris, what about all of the lives that were ruined because of the so-called “errors?” Are these “dirty cops” going to pay a big price for the fraud they committed?",2020-01-11T13:38:13Z,non-business hours,2
644,Polls say they BOTH lose to “Trump”.,2020-03-10T11:36:36Z,non-business hours,10
645,"This is what happens to someone who loyally gets appointed Attorney General of the United States ; then doesn’t have the wisdom or courage to stare down ; end the phony Russia Witch Hunt. Recuses himself on FIRST DAY in office, and the Mueller Scam begins!",2020-03-04T12:31:24Z,non-business hours,10
646," #FLYNN docs just unsealed, including handwritten notes // day of Flynn FBI interview. Transcript: “What is our go…",2020-04-30T12:57:47Z,non-business hours,18
647, . and I disagree on quite a bit and there are parts of his management of which I’ve been crial but I’m glad…,2020-04-30T12:57:19Z,non-business hours,18
648, CAUGHT-ON-TAPE: Dems on Impeachment! Retweet! This Impeachment Hoax of is an UNCONSTITUTIONAL UNDOI…,2020-01-20T04:27:37Z,non-business hours,3
649, This was a good ad highlighting a very good thing Trump did. is a good friend and a wonderful person.,2020-02-03T03:49:33Z,non-business hours,5
650, This Week: was the only winner in Iowa. Next Week: I'm headed to New Hshire with to keep…,2020-02-08T23:53:39Z,business hours,6
651, Looking forward to joining in New Hshire next week! The message is simple: it’s optimism vs. socialism…,2020-02-08T23:53:25Z,business hours,6
652, Watching this Democrat debate makes me so confident that ; will be celebrating on November…,2020-02-08T23:52:53Z,business hours,6
653," As the president stated earlier this week, Iran must never be allowed to develop a nuclear weapon.",2020-01-10T13:17:59Z,non-business hours,2
654,"MAKE AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT!!!!",2020-03-04T12:48:23Z,non-business hours,10
655," The Flynn documents are out. One line is as significant as it is shocking. Indeed, for those who have long seen a conce…",2020-04-30T13:00:30Z,business hours,18
656,Going to be a BAD day for Crazy Bernie!,2020-03-10T13:23:21Z,business hours,10
657," Retweet PROMISES MADE, PROMISES KEPT on TRADE! As spent $K on Gold Pens to sign an Impeachment Ho…",2020-01-20T04:28:18Z,non-business hours,3
658," Another senseless murder of an innocent American by armed gunmen in Mexico, this time a year-old boy. The Senate shoul...",2020-01-10T13:19:39Z,non-business hours,2
659,"On #NationalDoctorsDay, we recognize the remarkable men ; women who treat their fellow Americans, find cures for the diseases ; illnesses we face, and never waver in their efforts to treat every patient with the dignity, respect, and empathy they deserve.",2020-03-30T17:11:59Z,business hours,13
660,"I will be going to the Great State of Tennessee on Friday. The USA stands with the people of Tennessee %, whatever they need! The tornadoes were of record size ; velocity. God bless your loved ones ; all of the families affected! Thanks to ;",2020-03-04T14:20:44Z,business hours,10
661, It’s an honor to be in the fight with you dad and I’d do it times over to make sure that you can keep delivering o…,2020-02-08T23:54:40Z,business hours,6
662, .⁦ is coming to Colorado for an ⁦ rally! Join us on Feb. th! ⬇️,2020-02-08T23:53:52Z,business hours,6
663, What did FBI Director Christopher Wray know and when? And why has he been covering for these scum bags?,2020-04-30T12:59:56Z,non-business hours,18
664,"True, with number being more important!",2020-03-10T13:46:15Z,business hours,10
665," I promised to restore hope in America. That includes the least among us. Together, let’s KEEP AMERICA GREAT! Text TR…",2020-02-03T04:10:10Z,non-business hours,5
666,"The Democrat Party in the Great Commonwealth of Virginia are working hard to take away your nd Amendment rights. This is just the beginning. Don’t let it happen, VOTE REPUBLICAN in !",2020-01-20T15:43:57Z,business hours,3
667, The triggered left is doing everything possible to make negative talking points about the #SuperBowl ad abou…,2020-02-03T04:58:02Z,non-business hours,5
668,"The great people of Montana can have no better VOICE than Senator He is doing an incredible job! Whoever the Democrat nominee may be, please understand that I will be working hard with Steve all the way, ; last night I was for (per WE NEED STEVE!",2020-03-04T14:56:01Z,business hours,10
669, Speaker Pelosi still refuses to consider any plan to allow the House to operate or function remotely. Sidelining and para…,2020-04-30T13:16:56Z,business hours,18
670,Well deserved Jack. A great honor!,2020-03-10T13:48:19Z,business hours,10
671,They didn’t want John Bolton and others in the House. They were in too much of a rush. Now they want them all in the Senate. Not supposed to be that way!,2020-01-20T15:47:41Z,business hours,3
672,"I hope the House and Senate Democrats, in parular watch this. It is a classic. Thank you to Pirro!",2020-01-12T04:12:21Z,non-business hours,2
673,"Our pathe, slow moving Federal Reserve, headed by Jay Powell, who raised rates too fast and lowered too late, should get our Fed Rate down to the levels of our competitor nations. They now have as much as a two point advantage, with even bigger currency help. Also, stimulate!",2020-03-10T14:00:07Z,business hours,10
674,White House news conference at : P.M. Eastern. Thank you!,2020-03-30T20:50:35Z,business hours,13
675, Just announced: over $ million in funding from the HHS has been released to #NY hospitals. I will continue to work to…,2020-04-30T13:17:50Z,business hours,18
676, Safeguarding our nation’s food supply is a crial component necessary to defeat the spread of coronavirus. I support th…,2020-04-30T13:16:43Z,business hours,18
677,"Wow! If Elizabeth Warren wasn’t in the race, Bernie Sanders would have EASILY won Massachusetts, Minnesota and Texas, not to mention various other states. Our modern day Pocahontas won’t go down in history as a winner, but she may very well go down as the all time great SPOILER!",2020-03-04T15:21:44Z,business hours,10
678, Congratulations to the Kansas City Chiefs on a great game and a fantas comeback under immense pressure. We are prou…,2020-02-03T04:59:09Z,non-business hours,5
679, Democrats have only used their House majority to conduct witch hunts and smear is rig…,2020-02-09T00:00:35Z,business hours,6
680,"Cryin’ Chuck Schumer is now asking for “fairness”, when he and the Democrat House members worked together to make sure I got ZERO fairness in the House. So, what else is new?",2020-01-20T15:52:48Z,business hours,3
681,"The Federal Reserve must be a leader, not a very late follower, which it has been!",2020-03-10T14:02:12Z,business hours,10
682,"The Mayor of Los Angeles, is dealing with us trying to get the Federal Government to fix the terrible problem he and the Dems have caused with the homeless, and the horrendous effects it is having on the City, which is a mess. I then watch him talk “trash” on me!",2020-03-04T15:32:30Z,business hours,10
683, ▶️ Dismembering Syria and Yemen.▶️ Killing their own citizens who are demanding freedom President Trump is right to...,2020-01-07T11:59:34Z,non-business hours,1
684, To my Democra colleagues: years of Iranian aggression needs to be dealt with forcefully. Iran is:▶️ The lar...,2020-01-07T11:59:26Z,non-business hours,1
685," Our SECOND #SuperBowl ad just aired! America is Stronger, Safer, and More Prosperous thanks to President",2020-02-03T05:03:27Z,non-business hours,5
686, MILLION brand new jobs under President 💪 More Trump Economy RESULTS:,2020-02-09T00:01:43Z,business hours,6
687, LIVE: Press Briefing with Coronavirus Task Force,2020-03-30T21:13:25Z,business hours,13
688,"We can’t let the Fake News, and their partner, the Radical Left, Do Nothing Democrats, get away with stealing the Election. They tried that in . How did that work out?",2020-04-30T14:09:10Z,business hours,18
689, A Protesters in Virginia singing the Star Spangled Banner.,2020-01-20T16:09:19Z,business hours,3
690,"There is another Russia, Russia, Russia meeting today. It is headed up by corrupt poliian Adam “Shifty” Schiff, so I wouldn’t expect too much!",2020-03-10T14:28:57Z,business hours,10
691,"Mini Mike Bloomberg just “quit” the race for President. I could have told him long ago that he didn’t have what it takes, and he would have saved himself a billion dollars, the real cost. Now he will pour money into Sleepy Joe’s caign, hoping to save face. It won’t work!",2020-03-04T15:40:01Z,business hours,10
692,Thank you Rudy!,2020-01-12T04:19:03Z,non-business hours,2
693,Thank you Mike!,2020-02-03T05:05:00Z,non-business hours,5
694,Great lineup on tonight with and ; All starts at : P.M. Will be discussing and explaining the Impeachment Hoax!,2020-02-09T00:07:31Z,business hours,6
695, We already knew that James Comey's FBI was out to get General Flynn and President Trump. But it was worse than we thoug…,2020-04-30T14:37:07Z,business hours,18
696," ""Today, we pause to honor the incredible life and accomplishments of Dr. King, who helped shape the Civil Rights Movement,…",2020-01-20T16:16:30Z,business hours,3
697,"Nancy Pelosi just said, “I don’t know if we can be ready this week.” In other words, it’s off to vacation for the Do Nothing Democrats. That’s been the story with them for / years!",2020-03-10T14:42:24Z,business hours,10
698," My father promised to restore hope in America. That includes EVERYONE!!! Together, let’s KEEP AMERI…",2020-02-03T05:06:37Z,non-business hours,5
699,Law Enforcement has been notified. Be careful tough guys who you play with!,2020-02-09T00:55:20Z,business hours,6
700," President just met with on Coronavirus testing, financial assistance, and planning a greame…",2020-04-30T16:32:58Z,business hours,18
701,"Mini Mike Bloomberg will now FIRE Tim O’Brien, and all of the fools and truly dumb people who got him into this MESS. This has been the worst, and most embarrassing, experience of his life...and now on to Sleepy Joe!",2020-03-04T15:57:08Z,business hours,10
702," Think of the contrast. ↴ While Democrats are trying to remove President Trump from office, the President is focused on remov…",2020-01-12T05:51:45Z,non-business hours,2
703,"“New York Governor Cuomo says President Trump has been “very helpful.” Thank you, everybody is working very hard!",2020-03-31T11:27:06Z,non-business hours,13
704,USA! USA! USA!,2020-01-20T17:04:17Z,business hours,3
705,Our CoronaVirus Team has been doing a great job. Even Democrat governors have been VERY complimentary!,2020-03-10T14:44:11Z,business hours,10
706,"...But, just like the people of West Virginia will no longer look at weak ; pathe Joe Manchin the same (I got the Pension Bill approved, Manchin couldn’t do it), the wonderful people of Utah will never look at “grandstander” Mitt Romney with anything buntempt ; disgust!",2020-02-09T01:19:08Z,business hours,6
707,"Can’t say I mind the fact that the great people of West Virginia are furious at their puppet Democrat Senator, Joe Manchin. They will never forget his phony vote on the Impeachment Hoax. All he had to do is read the Transcripts, sadly, which he wouldn’t understand anyway.....",2020-02-09T01:19:05Z,business hours,6
708, The choice is clear this November!Continue with prosperity with President Trump's robust and successfu...,2020-01-09T22:12:26Z,business hours,2
709,"Mini Mike, “Three months ago I entered the race for President to defeat Donald Trump, (and I failed miserably!).",2020-03-04T16:06:04Z,business hours,10
710,"I watched a portion of low rated (very) Morning Psycho (Joe) this Morning in order to see what Nancy Pelosi had to say, ; what moves she was planning to further hurt our Country. Actually, other than her usual complaining that I’m a terrible person, she wasn’t bad. Still praying!",2020-03-31T13:18:13Z,business hours,13
711," President ""We're working very hard with New Jersey.""",2020-04-30T16:32:52Z,business hours,18
712, 🇺🇲🇺🇲 I don't know if it's just me BUT this entire #Impeachment #BullSchiffHoax has me never feeling more proud of President…,2020-01-20T18:06:51Z,business hours,3
713,Thank you to everyone for all of the great reviews I have gotten on my State of the Union Speech. It was an immense honor for me to have presented it to you and the citizens of our very strong and wonderful Country!,2020-02-09T01:56:59Z,business hours,6
714,"Ronald Reagan’s great economist, the recipient of the Presidential Medal of Freedom, has just said great things about a Payroll Tax Cut!",2020-03-10T14:48:18Z,business hours,10
715,"With interest rates for the United States being at ZERO, this is the time to do our decades long awaited Infrastructure Bill. It should be VERY BIG ; BOLD, Two Trillion Dollars, and be focused solely on jobs and rebuilding the once great infrastructure of our Country! Phase",2020-03-31T14:48:43Z,business hours,13
716,"Over MILLION Economic Impact Payments have already gone out to hardworking Americans! If you haven’t yet received your payment, go to and click on “GET MY PAYMENT” to receive your money FAST!",2020-04-30T18:25:29Z,business hours,18
717,"Today, it was my great honor to address the Legislative Summit. With the hard work, love ; devotion of millions of incredible Hispanic-Americans, our Country is thriving, our people are prospering, and our future has never looked brighter!",2020-03-04T19:30:11Z,business hours,10
718, The RNC is building the biggest data infrastructure and ground game in the history of polis to re-elect,2020-02-03T05:09:49Z,non-business hours,5
719, The American left and media cover relentlessly for Iran’s murderous regime. They claim that staged mass rallies mean the…,2020-01-12T13:09:50Z,non-business hours,2
720, But the brave people of Iran are not fooled. They have no illusions about the evil men who rule them. As they yet again t…,2020-01-12T13:09:42Z,non-business hours,2
721,Congratulations to the Great State of Tennessee. You’ve got yourselves a fantas football team. Big WIN last night!,2020-01-12T13:13:44Z,non-business hours,2
722," Now Mini Mike Bloomberg is crial of Jack Wilson, who saved perhaps hundreds of people in a Church because he was ca…",2020-01-20T18:10:53Z,business hours,3
723, Congressman is doing a fantas job for the people of Mississippi. He strongly supports our #MAGA Agen…,2020-03-10T15:54:14Z,business hours,10
724, Congressman Michael Guest ( is an incredible fighter for the Great State of Mississippi. Michael is str…,2020-03-10T15:54:13Z,business hours,10
725, Cuomo: People are stealing medical supplies from hospitals Trump: People are stealing medical supplies from hospitals Cuomo:…,2020-03-31T14:52:28Z,business hours,13
726,The feeling of many about,2020-02-09T04:20:36Z,non-business hours,6
727, I have never seen the Republican Party as Strong and as Unified as it is right now. Thank you!,2020-01-20T18:11:18Z,business hours,3
728,Hope you liked this!,2020-02-03T05:25:22Z,non-business hours,5
729," Trump gets bump in latest Gallup Poll: % approval (+, tied for his best) % disapproval (-)",2020-04-30T19:58:53Z,business hours,18
730,"Pandering Mini Mike Bloomberg, along with his wacky friend, Tom Steyer, have found out the hard way that you can’t buy the election! They both wish they had it to do over again!",2020-03-04T20:06:11Z,business hours,10
731, ....BUT THE BEST IS YET TO COME!,2020-01-20T18:12:11Z,business hours,3
732," “Nancy Pelosi said, it’s not a question of proof, it’s a question of allegations! Oh really?”",2020-01-20T18:11:52Z,business hours,3
733," I promised to restore hope in America. That includes the least among us. Together, let’s KEEP AMERICA GREAT! Text TR…",2020-02-03T06:07:03Z,non-business hours,5
734,Will be interviewed by tonight at : P.M. Eastern on Enjoy!,2020-03-04T23:43:30Z,business hours,10
735, If you listened to the flawed advice of at the a newspaper that was going broke until I came al…,2020-01-20T18:12:13Z,business hours,3
736,Congratulations to on another big win. She is a great player and an even greater person. Our members in Virginia (Tennis) will never forget you!,2020-01-12T13:28:34Z,non-business hours,2
737, LIVE: POTUS Delivers Remarks on Proting America's Seniors,2020-04-30T20:26:30Z,business hours,18
738," THANK YOU, Jim, for your incredible support of our #MAGA Agenda! You are a tremendous Senator for the people of the Gr…",2020-03-10T15:54:17Z,business hours,10
739,"Leading also in New Hshire and most states. The Fake News hates to report this, but you will see on November rd.",2020-02-09T14:34:25Z,business hours,6
740,Thank you Mike!,2020-03-31T14:55:00Z,business hours,13
741,"Congress has agreed to provide $ Billion to fight Coronavirus! This means and will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health, our Economy, and our Nation!",2020-03-04T23:45:39Z,business hours,10
742, Keep yourself and those around you safe from the Coronavirus:,2020-03-10T16:07:23Z,business hours,10
743,"Two stone cold losers from Amazon WP. Almost every story is a made up lie, just like corrupt pol Shifty Schiff, who fraudulently made up my call with Ukraine. Fiction!",2020-01-20T18:48:44Z,business hours,3
744,"Under my administration, we will NEVER make excuses for America’s enemies – we will never hesitate in defending American lives – and we will never stop working to defeat Radical Islamic Terrorism!",2020-01-10T02:04:08Z,non-business hours,2
745,"The DNC on Bernie Sanders, “Looks like they’re going to do it to him again, doesn’t it?”",2020-02-03T13:02:37Z,non-business hours,5
746," Crazy Nancy Pelosi’s Impeachment Hoax has lifted Republican Congressional Polls (she lost the House once before!), and…",2020-02-09T14:35:53Z,business hours,6
747, Thank you Iowa for the RECORD vote we just received in the Primary. The Dems were % down (although their votes are a…,2020-02-09T14:35:29Z,business hours,6
748,"STRONG ; UNITED, WE WILL PREVAIL!",2020-03-18T21:48:42Z,business hours,12
749, Our doctors and healare professionals are on the front lines of the coronavirus pandemic. Our prayers are with you as…,2020-03-31T14:56:54Z,business hours,13
750,"....He is Strong on Crime, the Border, and Second Amendment. Tom has deep roots in Wisconsin, is a big Tax Cutter, and will help me DRAIN THE SWAMP! Tom has my Complete and Total Endorsement. Vote for Tom Tiffany!",2020-05-01T00:11:06Z,business hours,18
751,"Tom Tiffany ( is a Great Advocate for the incredible people of Wisconsin (WI). We need Tom in Congress to help us Make America Great Again! He will Fight for Small Business, supports our Incredible Farmers, Loves our Military and our Vets....",2020-05-01T00:11:06Z,business hours,18
752,Thank you,2020-03-10T16:44:33Z,business hours,10
753,"Congress has agreed to provide $ Billion to fight Coronavirus! This means and will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health, our Economy, and our Nation!",2020-03-04T23:46:50Z,business hours,10
754,"To the leaders of Iran - DO NOT KILL YOUR PROTESTERS. Thousands have already been killed or imprisoned by you, and the World is watching. More importantly, the USA is watching. Turn your internet back on and let reporters roam free! Stop the killing of your great Iranian people!",2020-01-12T13:48:30Z,non-business hours,2
755,"Vote by May th! His opponent voted to fire teachers, and cut their salaries while bumping up her pay. Now she’s mocking our Great Vets! We need Navy Fighter Pilot Mike Garcia in #CA!",2020-05-01T00:23:04Z,business hours,18
756," 🚨 to produce , ventilators in Michigan in next days; partnering with #COVID #COVIDUpdates ht…",2020-03-31T15:00:33Z,business hours,13
757," ""MY VIEWERS WANT ACCOUNTABILITY!!!!"" ""WE'LL BE WATCHING SENATOR"" Maria says EXACTLY what Americans are thinking. THANK…",2020-02-03T13:16:01Z,non-business hours,5
758,"The Dems are crazed, they will do anything. Honesty ; truth don’t matter to them. They are badly wounded. Iowa vote count was a disaster for them!",2020-02-09T14:40:00Z,business hours,6
759," % Approval Rating in the Republican Party, A Record. Thank You!",2020-01-20T18:50:38Z,business hours,3
760,"George ask Crazy Nancy why she allowed Adam “Shifty” Schiff to totally make up my conversation with the Ukrainian President ; read his false words to Congress and the world, as though I said it? He goaught! Ask why hearing was most unfair ; biased in history?",2020-01-12T13:58:09Z,non-business hours,2
761," Enjoyed talking with about the intersection of health and national security, as well as how community h…",2020-02-09T15:10:51Z,business hours,6
762," On #NationalDoctorsDay, we recognize the remarkable men ; women who treat their fellow Americans, find cures for the d…",2020-03-31T15:00:06Z,business hours,13
763,Great meeting on Capitol Hill with the,2020-03-10T18:41:08Z,business hours,10
764,...And they say you can add % to % to all Trump numbers! Who knows?,2020-01-20T18:53:02Z,business hours,3
765, New DOJ/Flynn docs are sted w SCO as in Special Counsels Office Did Mueller have these docs? Why did his team sit o…,2020-05-01T00:44:41Z,business hours,18
766, President and Vice President met with airline CEOs earlier to discuss the impact of the Corona…,2020-03-04T23:47:45Z,business hours,10
767,John Kerry goaught essentially admitting that funds given ridiculously to Iran were used to fund atks on the USA. Only a complete fool would have given that Billion Dollars Plus to Iran. They then went on a Middle East Rage!,2020-01-12T14:06:03Z,business hours,2
768,"It was exactly three years ago today, January , , that I was sworn into office. So appropriate that today is also MLK jr DAY. African-American Unemployment is the LOWEST in the history of our Country, by far. Also, best Poverty, Youth, and Employment numbers, ever. Great!",2020-01-20T19:59:40Z,business hours,3
