id,text,date_est,business_hours,cal_week
44,"....very often FAKE NEWS. Lamestream Media should be forced to reveal sources, very much as they did in the long ago past. If they did that, the media would be trusted again, and Fake News would largely be a thing if the past!",2020-03-28T12:33:30Z,non-business hours,13
45,"Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to .%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",2020-03-03T06:27:46Z,non-business hours,9
46,"Such a great, common sense, question. Crazy!",2020-02-01T21:53:04Z,business hours,5
47,"Mini Mike Bloomberg can never recover from his incompetent debate performances. Also, as mayor he was very bad under pressure - a chocker!",2020-03-03T13:36:16Z,non-business hours,9
48," Such a great, common sense, question. Crazy!",2020-02-02T03:25:48Z,non-business hours,5
49," President National security team — Pence, and national security advisor...",2020-01-07T12:00:49Z,non-business hours,1
50,", ket requests. Keep America Great!",2020-01-29T11:25:02Z,non-business hours,5
51,"Good for the consumer, gasoline prices coming down!",2020-03-09T14:36:49Z,business hours,10
52,Happy National Vietnam War Veterans Day to all of our Vietnam era Veterans. You have earned our gratitude and thanks by your actions years ago and what you have done since returning home. The Nation thanks you and your families for your service and sacrifice. We love you!,2020-03-29T18:10:52Z,business hours,13
53, DEMOCRATS DIDN'T EXPECT THIS - Washington Post Poll: Hispanics Are the Strongest Opponents of Immigration,2020-04-30T12:10:19Z,non-business hours,18
54, The economy is going to do so well this Summer and make Trump look so good that Democrats will accuse HIM of hyping COVID-…,2020-04-30T12:10:00Z,non-business hours,18
55,....BUT THE BEST IS YET TO COME!,2020-01-19T00:52:28Z,business hours,3
56,"Elizabeth “Pocahontas” Warren, other than Mini Mike, was the loser of the night. She didn’t even come close to winning her home state of Massachusetts. Well, now she can just sit back with her husband and have a nice cold beer!",2020-03-04T03:35:16Z,non-business hours,10
57, . repeatedly warned against incompetent ; corrupt poliians in Puerto Rico managing disaster aid. Th…,2020-01-22T05:12:08Z,non-business hours,4
58, Facts: Federal tax dollars will no longer go to sanctuary states or cities that harbor criminal illegal aliens If a pr…,2020-03-12T10:00:25Z,non-business hours,11
59,"We have appointed Federal Judges and two Supreme Court Juses. PROMISES MADE, PROMISES KEPT!",2020-03-06T03:18:37Z,non-business hours,10
60,"It is not the fault of Iowa, it is the Do Nothing Democrats fault. As long as I am President, Iowa will stay where it is. Important tradition!",2020-02-04T13:27:15Z,non-business hours,5
61,"Sabato got it all wrong last time, never came close to understanding the Trump Voter. Actually it’s simple, MAKE AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT!",2020-02-09T19:09:19Z,business hours,6
62, Nancy Pelosi just showed she supports a regime that kills its people. This is disgusting! #NancyPelosiFakeNews,2020-01-13T14:11:34Z,business hours,2
63," People just now realizing how crazy and destructive Nancy is to America, better yet the world. I pity those that still supp…",2020-01-13T14:10:41Z,business hours,2
64,"Really Big Breaking News (Kidding): Booker, who was in zero polling territory, just dropped out of the Democrat Presidential Primary Race. Now I can rest easy tonight. I was sooo concerned that I would someday have to go head to head with him!",2020-01-13T16:13:50Z,business hours,2
65," This has really come full circle for First, it was accepting private jet rides and luxury hotel stays that got h…",2020-01-22T05:35:18Z,non-business hours,4
66, . may have been misusing CO funds long before he started paying his legal bills from a / recovery fund - Colorada…,2020-01-22T05:35:08Z,non-business hours,4
67," President says he was ready to face ""communist"" Bernie Sanders and then Joe Biden won on ""Super Tuesday,…",2020-03-06T05:09:52Z,non-business hours,10
68, LIVE: Press Briefing with Coronavirus Task Force,2020-04-03T21:24:59Z,business hours,14
69,"Thank you to of the New York Post for your interesting (and correct) column today. “Trump has gained points since Impeachment began in October. He gets % on economy. Nonwhite approval of Trump is also at a high: %, up points in a year. Nice one, Nancy.”",2020-02-10T14:25:20Z,business hours,6
70, Watch this video to learn how you can help prevent the spread of respiratory diseases like the novel #coronavirus (#COVID). T…,2020-03-12T13:50:02Z,business hours,11
71, 🚨UPDATE: The Senate passed the USMCA trade agreement! Huge win for American jobs!,2020-01-22T05:36:20Z,non-business hours,4
72," NEW SHI!! 🚨 I’m in the Senate to fight for all Arizonans, not play polis and games with the liberal hacks of the…",2020-01-22T05:36:08Z,non-business hours,4
73,"“We demand fairness” shouts Pelosi and the Do Nothing Democrats, yet the Dems in the House wouldn’t let us have witness, no lawyers or even ask questions. It was the most unfair witch-hunt in the history of Congress!",2020-01-13T17:31:58Z,business hours,2
74," Here are some simple steps that every American and community can take to help decrease the spread of the #coronavirus at work,…",2020-03-12T13:51:02Z,business hours,11
75, “It was a fake impeachment” President #TrumpTownHall,2020-03-06T05:10:19Z,non-business hours,10
76, . has taken additional actions to ensure #Medicare-paripating hospital emergency departments continue to implement…,2020-03-12T13:53:10Z,business hours,11
77,"Many of the ads you are watching were paid for by Mini Mike Bloomberg. He is going nowhere, just wasting his money, but he is getting the DNC to rig the election against Crazy Bernie, something they wouldn’t do for and others. They are doing it to Bernie again, .",2020-02-02T05:17:07Z,non-business hours,5
78, Boarding Air Force One ✈️ heading to Charlotte for the NC #OpportunityNOW Summit with,2020-02-08T19:32:27Z,business hours,6
79,"“Nancy Pelosi said, it’s not a question of proof, it’s a question of allegations! Oh really?” What a disgrace this Impeachment Scam is for our great Country!",2020-01-19T02:12:28Z,non-business hours,3
80,DIY COP JAMES COMEY GOT CAUGHT!,2020-04-30T12:11:23Z,non-business hours,18
81,"So last year , Americans died from the common Flu. It averages between , and , per year. Nothing is shut down, life ; the economy go on. At this moment there are confirmed cases of CoronaVirus, with deaths. Think about that!",2020-03-09T14:47:59Z,business hours,10
82,"I am a great friend and admirer of the Queen ; the United Kingdom. It was reported that Harry and Meghan, who left the Kingdom, would reside permanently in Canada. Now they have left Canada for the U.S. however, the U.S. will not pay for their security protion. They must pay!",2020-03-29T19:00:26Z,business hours,13
83,But they really knew who was going to win!,2020-03-04T03:39:34Z,non-business hours,10
84,Thank you very much to Ken Langone for being a great American and for your wonderful comments on,2020-03-29T20:03:36Z,business hours,13
85,"Mini Mike is now negotiating both to get on the Democrat Primary debate stage, and to have the right to stand on boxes, or a lift, during the debates. This is sometimes done, but really not fair!",2020-02-02T05:25:10Z,non-business hours,5
